1AD,20170227,0.225,0.225,0.225,0.225,19478
1AG,20170227,0.032,0.032,0.032,0.032,25000
1AL,20170227,0.95,0.95,0.95,0.95,10000
1PG,20170227,0.165,0.175,0.155,0.16,791884
1ST,20170227,0.049,0.051,0.048,0.05,257563
3DP,20170227,0.022,0.022,0.02,0.02,110574
3PL,20170227,1.04,1.04,0.97,0.99,376186
4CE,20170227,0.03,0.031,0.029,0.031,4032455
4DS,20170227,0.022,0.022,0.02,0.021,259929
4WD,20170227,0.99,0.99,0.99,0.99,217957
88E,20170227,0.043,0.043,0.042,0.042,6751200
8EC,20170227,1.02,1.02,1.01,1.01,25191
9SP,20170227,0.185,0.19,0.185,0.19,128333
A2M,20170227,2.24,2.27,2.21,2.21,2688313
A3D,20170227,3.03,3.08,2.83,3.08,94998
AAA,20170227,50.16,50.16,50.15,50.15,125248
AAC,20170227,1.45,1.45,1.42,1.44,1216838
AAD,20170227,1.65,1.65,1.595,1.615,7291402
AAJ,20170227,0.009,0.009,0.009,0.009,1027227
AAR,20170227,0.02,0.02,0.02,0.02,250000
AB1,20170227,0.032,0.033,0.032,0.033,113764
ABA,20170227,5.32,5.35,5.32,5.35,1212
ABC,20170227,5.34,5.36,5.31,5.35,2292083
ABP,20170227,3.06,3.12,3.06,3.1,775123
ABT,20170227,0.5,0.5,0.5,0.5,1500
ABU,20170227,0.11,0.115,0.11,0.115,262306
ABW,20170227,0.7,0.7,0.7,0.7,41700
ABX,20170227,0.125,0.135,0.125,0.135,369320
AC8,20170227,0.355,0.375,0.325,0.34,3829813
ACB,20170227,0.074,0.075,0.074,0.075,2444743
ACG,20170227,0.068,0.068,0.066,0.066,1636876
ACL,20170227,0.012,0.012,0.012,0.012,100000
ACQ,20170227,1,1,1,1,24189
ACR,20170227,0.29,0.295,0.29,0.29,778558
ACU,20170227,0.021,0.021,0.017,0.019,2302337
ACW,20170227,0.061,0.061,0.058,0.06,1772901
ACX,20170227,3.43,3.55,3.37,3.49,875933
AD1,20170227,0.24,0.24,0.2,0.2,204120
ADA,20170227,2.3,2.31,2.28,2.29,62893
ADH,20170227,1.26,1.26,1.177,1.2,3386296
ADJ,20170227,0.072,0.072,0.066,0.069,4348384
ADN,20170227,0.01,0.01,0.01,0.01,34170
ADO,20170227,0.038,0.039,0.038,0.038,81010
ADR,20170227,0.205,0.205,0.19,0.19,171697
ADV,20170227,0.025,0.025,0.024,0.024,1584536
ADX,20170227,0.013,0.013,0.013,0.013,2000
AEB,20170227,0.049,0.053,0.049,0.053,128982
AEE,20170227,0.038,0.039,0.036,0.039,669813
AEF,20170227,92,92,92,92,24
AEG,20170227,1.055,1.06,1.035,1.035,64687
AEI,20170227,0.35,0.35,0.34,0.34,10000
AER,20170227,0.06,0.07,0.06,0.07,37151
AEV,20170227,0.096,0.096,0.095,0.095,163864
AFG,20170227,1.425,1.44,1.4,1.44,435882
AFI,20170227,5.81,5.86,5.81,5.81,432719
AFP,20170227,2.55,2.55,2.55,2.55,200
AFR,20170227,0.044,0.044,0.044,0.044,153164
AFY,20170227,2.1,2.32,2.02,2.27,334673
AGD,20170227,0.17,0.19,0.17,0.19,33000
AGE,20170227,0.019,0.02,0.018,0.018,2136954
AGG,20170227,2.99,2.99,2.99,2.99,140
AGI,20170227,1.67,1.715,1.67,1.7,214256
AGL,20170227,23.6,23.92,23.6,23.85,1433574
AGO,20170227,0.039,0.039,0.036,0.038,135244410
AGR,20170227,0.093,0.093,0.09,0.093,636060
AGS,20170227,0.095,0.095,0.086,0.086,187138
AGY,20170227,0.029,0.029,0.027,0.027,425031
AHF,20170227,0.15,0.17,0.15,0.165,1343547
AHG,20170227,3.89,4.1,3.85,4.03,1535632
AHK,20170227,0.185,0.185,0.185,0.185,5500
