1AD,20170227,0.225,0.225,0.225,0.225,19478
BNR,20170227,0.034,0.034,0.033,0.033,623871
MIL,20170227,1.84,1.87,1.84,1.87,7445
1AD,20170228,0.21,0.21,0.21,0.21,1522
BNR,20170228,0.033,0.033,0.031,0.031,462899
MIL,20170228,1.81,1.81,1.6,1.64,167694
1AD,20170301,0.21,0.21,0.21,0.21,10000
BNR,20170301,0.031,0.031,0.03,0.031,152834
MIL,20170301,1.64,1.64,1.55,1.6,45308
1AD,20170302,0.21,0.21,0.205,0.205,30026
BNR,20170302,0.03,0.033,0.03,0.033,131000
MIL,20170302,1.64,1.64,1.64,1.64,311608
1AD,20170303,0.22,0.22,0.22,0.22,2300
BNR,20170303,0.031,0.031,0.03,0.03,300000
MIL,20170303,1.64,1.64,1.6,1.6,44505
